Initial Metabolite	IDs of rxns added	IDs of rxns added from outer loop	IDs of rxns added from inner loop	Tracer symbols of rxns	Tracer Symbols for outer loop rxns	Tracer symbols for inner loop rxns values	Full rxn values	Outer rxn values	Inner rxn values	All rxns looped through in inner loop	Reversibilities	Reversibilities from outer loop	Reversibilities from inner loop	Compounds	Compounds from outer loop	Compounds from inner loop	Trace numbers	Trace numbers from outer loop	Trace numbers from inner loop	Level of rulebreaking applied	skipAdd active?	randPerm active?	Successful/unsuccessful trial	Confidence score result in failure?
cpd03115[m]	(Transport_cm_cpd03115[m])	(Transport_cm_cpd03115[m])		[(T)]	[(T)]		(cpd03115[c] <=> cpd03115[m])	(cpd03115[c] <=> cpd03115[m])			(1)	(1)		(*cpd03115[m]*)(cpd03115[c])	(*cpd03115[m]*)(cpd03115[c])		(1)	(1)		0	0	0	0	0
cpd03115[m]	(Transport_cm_cpd03115[m])	(Transport_cm_cpd03115[m])		[(T)]	[(T)]		(cpd03115[c] <=> cpd03115[m])	(cpd03115[c] <=> cpd03115[m])			(1)	(1)		(*cpd03115[m]*)(cpd03115[c])	(*cpd03115[m]*)(cpd03115[c])		(1)	(1)		0	1	1	3	0
cpd02873[c]	(rxn19911[c]*)	(rxn19911[c]*)		[(8)]	[(8)]		(1 cpd15027[c] + 1 cpd15611[c] => 1 cpd02873[c])	(1 cpd15027[c] + 1 cpd15611[c] => 1 cpd02873[c])			(1)	(1)		(*cpd02873[c]*)(cpd15027[c])(cpd15611[c]*)	(*cpd02873[c]*)(cpd15027[c])(cpd15611[c]*)		(1)	(1)		0	0	0	0	0
cpd02873[c]	(rxn19911[c]*)	(rxn19911[c]*)		[(8)]	[(8)]		(1 cpd15027[c] + 1 cpd15611[c] => 1 cpd02873[c])	(1 cpd15027[c] + 1 cpd15611[c] => 1 cpd02873[c])			(1)	(1)		(*cpd02873[c]*)(cpd15027[c])(cpd15611[c]*)	(*cpd02873[c]*)(cpd15027[c])(cpd15611[c]*)		(1)	(1)		0	1	1	0	0
cpd02873[c]	(rxn19911[c]*)	(rxn19911[c]*)		[(8)]	[(8)]		(1 cpd15027[c] + 1 cpd15611[c] => 1 cpd02873[c])	(1 cpd15027[c] + 1 cpd15611[c] => 1 cpd02873[c])			(1)	(1)		(*cpd02873[c]*)(cpd15027[c])(cpd15611[c]*)	(*cpd02873[c]*)(cpd15027[c])(cpd15611[c]*)		(1)	(1)		2	0	0	0	0
cpd02873[c]	(rxn19911[c]*)	(rxn19911[c]*)		[(8)]	[(8)]		(1 cpd15027[c] + 1 cpd15611[c] => 1 cpd02873[c])	(1 cpd15027[c] + 1 cpd15611[c] => 1 cpd02873[c])			(1)	(1)		(*cpd02873[c]*)(cpd15027[c])(cpd15611[c]*)	(*cpd02873[c]*)(cpd15027[c])(cpd15611[c]*)		(1)	(1)		2	1	1	3	0
cpd00623[c]	(rxn24441[c]*)	(rxn24441[c]*)		[(8)]	[(8)]		(1 cpd00010[c] + 1 cpd00067[c] + 1 cpd27879[c] <=> 1 cpd00623[c] + 1 cpd27059[c])	(1 cpd00010[c] + 1 cpd00067[c] + 1 cpd27879[c] <=> 1 cpd00623[c] + 1 cpd27059[c])			(1)	(1)		(*cpd00623[c]*)(cpd27059[c]*)(cpd00010[c])(cpd00067[c])(cpd27879[c]*)	(*cpd00623[c]*)(cpd27059[c]*)(cpd00010[c])(cpd00067[c])(cpd27879[c]*)		(1)	(1)		0	0	0	0	0
cpd00623[c]	(rxn24441[c]*)	(rxn24441[c]*)		[(8)]	[(8)]		(1 cpd00010[c] + 1 cpd00067[c] + 1 cpd27879[c] <=> 1 cpd00623[c] + 1 cpd27059[c])	(1 cpd00010[c] + 1 cpd00067[c] + 1 cpd27879[c] <=> 1 cpd00623[c] + 1 cpd27059[c])			(1)	(1)		(*cpd00623[c]*)(cpd27059[c]*)(cpd00010[c])(cpd00067[c])(cpd27879[c]*)	(*cpd00623[c]*)(cpd27059[c]*)(cpd00010[c])(cpd00067[c])(cpd27879[c]*)		(1)	(1)		0	1	1	0	0
cpd00623[c]	(rxn24441[c]*)	(rxn24441[c]*)		[(8)]	[(8)]		(1 cpd00010[c] + 1 cpd00067[c] + 1 cpd27879[c] <=> 1 cpd00623[c] + 1 cpd27059[c])	(1 cpd00010[c] + 1 cpd00067[c] + 1 cpd27879[c] <=> 1 cpd00623[c] + 1 cpd27059[c])			(1)	(1)		(*cpd00623[c]*)(cpd27059[c]*)(cpd00010[c])(cpd00067[c])(cpd27879[c]*)	(*cpd00623[c]*)(cpd27059[c]*)(cpd00010[c])(cpd00067[c])(cpd27879[c]*)		(1)	(1)		2	0	0	0	0
cpd00623[c]	(rxn24441[c]*)	(rxn24441[c]*)		[(8)]	[(8)]		(1 cpd00010[c] + 1 cpd00067[c] + 1 cpd27879[c] <=> 1 cpd00623[c] + 1 cpd27059[c])	(1 cpd00010[c] + 1 cpd00067[c] + 1 cpd27879[c] <=> 1 cpd00623[c] + 1 cpd27059[c])			(1)	(1)		(*cpd00623[c]*)(cpd27059[c]*)(cpd00010[c])(cpd00067[c])(cpd27879[c]*)	(*cpd00623[c]*)(cpd27059[c]*)(cpd00010[c])(cpd00067[c])(cpd27879[c]*)		(1)	(1)		2	1	1	3	0
cpd00857[x]	(RXN-16378-CPD-4186/FERROCYTOCHROME-B5/OXYGEN-MOLECULE/PROTON//CPD-4187/FERRICYTOCHROME-B5/WATER.86.[x]*)	(RXN-16378-CPD-4186/FERROCYTOCHROME-B5/OXYGEN-MOLECULE/PROTON//CPD-4187/FERRICYTOCHROME-B5/WATER.86.[x]*)		[(8)]	[(8)]		(cpd00877[x] + 2 cpd27031[x] + cpd00007[x] + 2 cpd00067[x] <=> cpd00857[x] + 2 cpd27029[x] + 2 cpd00001[x])	(cpd00877[x] + 2 cpd27031[x] + cpd00007[x] + 2 cpd00067[x] <=> cpd00857[x] + 2 cpd27029[x] + 2 cpd00001[x])			(1)	(1)		(*cpd00857[x]*)(cpd27029[x]*)(cpd00001[x])(cpd00877[x])(cpd27031[x]*)(cpd00007[x])(cpd00067[x])	(*cpd00857[x]*)(cpd27029[x]*)(cpd00001[x])(cpd00877[x])(cpd27031[x]*)(cpd00007[x])(cpd00067[x])		(1)	(1)		0	0	0	0	0
cpd00857[x]	(RXN-16378-CPD-4186/FERROCYTOCHROME-B5/OXYGEN-MOLECULE/PROTON//CPD-4187/FERRICYTOCHROME-B5/WATER.86.[x]*)	(RXN-16378-CPD-4186/FERROCYTOCHROME-B5/OXYGEN-MOLECULE/PROTON//CPD-4187/FERRICYTOCHROME-B5/WATER.86.[x]*)		[(8)]	[(8)]		(cpd00877[x] + 2 cpd27031[x] + cpd00007[x] + 2 cpd00067[x] <=> cpd00857[x] + 2 cpd27029[x] + 2 cpd00001[x])	(cpd00877[x] + 2 cpd27031[x] + cpd00007[x] + 2 cpd00067[x] <=> cpd00857[x] + 2 cpd27029[x] + 2 cpd00001[x])			(1)	(1)		(*cpd00857[x]*)(cpd27029[x]*)(cpd00001[x])(cpd00877[x])(cpd27031[x]*)(cpd00007[x])(cpd00067[x])	(*cpd00857[x]*)(cpd27029[x]*)(cpd00001[x])(cpd00877[x])(cpd27031[x]*)(cpd00007[x])(cpd00067[x])		(1)	(1)		0	1	1	0	0
cpd00857[x]	(RXN-16378-CPD-4186/FERROCYTOCHROME-B5/OXYGEN-MOLECULE/PROTON//CPD-4187/FERRICYTOCHROME-B5/WATER.86.[x]*)	(RXN-16378-CPD-4186/FERROCYTOCHROME-B5/OXYGEN-MOLECULE/PROTON//CPD-4187/FERRICYTOCHROME-B5/WATER.86.[x]*)		[(8)]	[(8)]		(cpd00877[x] + 2 cpd27031[x] + cpd00007[x] + 2 cpd00067[x] <=> cpd00857[x] + 2 cpd27029[x] + 2 cpd00001[x])	(cpd00877[x] + 2 cpd27031[x] + cpd00007[x] + 2 cpd00067[x] <=> cpd00857[x] + 2 cpd27029[x] + 2 cpd00001[x])			(1)	(1)		(*cpd00857[x]*)(cpd27029[x]*)(cpd00001[x])(cpd00877[x])(cpd27031[x]*)(cpd00007[x])(cpd00067[x])	(*cpd00857[x]*)(cpd27029[x]*)(cpd00001[x])(cpd00877[x])(cpd27031[x]*)(cpd00007[x])(cpd00067[x])		(1)	(1)		2	0	0	0	0
cpd00857[x]	(RXN-16378-CPD-4186/FERROCYTOCHROME-B5/OXYGEN-MOLECULE/PROTON//CPD-4187/FERRICYTOCHROME-B5/WATER.86.[x]*)	(RXN-16378-CPD-4186/FERROCYTOCHROME-B5/OXYGEN-MOLECULE/PROTON//CPD-4187/FERRICYTOCHROME-B5/WATER.86.[x]*)		[(8)]	[(8)]		(cpd00877[x] + 2 cpd27031[x] + cpd00007[x] + 2 cpd00067[x] <=> cpd00857[x] + 2 cpd27029[x] + 2 cpd00001[x])	(cpd00877[x] + 2 cpd27031[x] + cpd00007[x] + 2 cpd00067[x] <=> cpd00857[x] + 2 cpd27029[x] + 2 cpd00001[x])			(1)	(1)		(*cpd00857[x]*)(cpd27029[x]*)(cpd00001[x])(cpd00877[x])(cpd27031[x]*)(cpd00007[x])(cpd00067[x])	(*cpd00857[x]*)(cpd27029[x]*)(cpd00001[x])(cpd00877[x])(cpd27031[x]*)(cpd00007[x])(cpd00067[x])		(1)	(1)		2	1	1	3	0
cpd02978[m]	(Transport_cm_cpd02978[m])	(Transport_cm_cpd02978[m])		[(T)]	[(T)]		(cpd02978[c] <=> cpd02978[m])	(cpd02978[c] <=> cpd02978[m])			(1)	(1)		(*cpd02978[m]*)(cpd02978[c])	(*cpd02978[m]*)(cpd02978[c])		(1)	(1)		0	0	0	0	0
cpd02978[m]	(Transport_cm_cpd02978[m])	(Transport_cm_cpd02978[m])		[(T)]	[(T)]		(cpd02978[c] <=> cpd02978[m])	(cpd02978[c] <=> cpd02978[m])			(1)	(1)		(*cpd02978[m]*)(cpd02978[c])	(*cpd02978[m]*)(cpd02978[c])		(1)	(1)		0	1	1	3	0
cpd01772[c]	(rxn24330[c]*)	(rxn24330[c]*)		[(9)]	[(9)]		(1 cpd00008[c] + 1 cpd00009[c] + 1 cpd02021[c] <=> 1 cpd00002[c] + 1 cpd00010[c] + 1 cpd01772[c])	(1 cpd00008[c] + 1 cpd00009[c] + 1 cpd02021[c] <=> 1 cpd00002[c] + 1 cpd00010[c] + 1 cpd01772[c])			(1)	(1)		(cpd00002[c])(cpd00010[c])(*cpd01772[c]*)(cpd00008[c])(cpd00009[c])(cpd02021[c])	(cpd00002[c])(cpd00010[c])(*cpd01772[c]*)(cpd00008[c])(cpd00009[c])(cpd02021[c])		(1)	(1)		0	0	0	1	0
cpd02295[c]	(rxn24310[c]*)	(rxn24310[c]*)		[(9)]	[(9)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23602[c] => 2 cpd00067[c] + 1 cpd02295[c] + 1 cpd03214[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23602[c] => 2 cpd00067[c] + 1 cpd02295[c] + 1 cpd03214[c])			(0)	(0)		(cpd00067[c])(*cpd02295[c]*)(cpd03214[c])(cpd00011[c])(cpd00012[c])(cpd23602[c]*)	(cpd00067[c])(*cpd02295[c]*)(cpd03214[c])(cpd00011[c])(cpd00012[c])(cpd23602[c]*)		(1)	(1)		0	0	0	0	0
